;Código da Escola;Nome da Escola;Dependência Administrativa;Aprovação;Reprovação;Abandono;NO_REGIAO;SG_UF;TP_LOCALIZACAO;IN_INTERNET_ALUNOS;IN_INTERNET_APRENDIZAGEM;IN_LABORATORIO_INFORMATICA;IN_BIBLIOTECA;IN_BANHEIRO;IN_AGUA_POTAVEL;Energia;Esgoto;IN_BANHEIRO_PNE;IN_ACESSIBILIDADE_CORRIMAO;IN_ACESSIBILIDADE_ELEVADOR;IN_ACESSIBILIDADE_VAO_LIVRE;IN_ACESSIBILIDADE_RAMPAS;IN_ACESSIBILIDADE_SINAL_SONORO;IN_ACESSIBILIDADE_SINAL_TATIL;IN_ACESSIBILIDADE_SINAL_VISUAL
6874;32081804;IFES - CAMPUS AVANCADO VIANA;Federal;97.2;2.3;0.5;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1
6875;32007000;CEIER DE VILA PAVAO;Estadual;100;0;0;Sudeste;ES;Rural;1;0;1;1;1;1;1;1;1;0;0;0;1;0;0;0
6876;32038160;CEIC;Privada;95.1;4.9;0;Sudeste;ES;Urbana;0;1;0;1;1;1;1;1;1;1;0;0;1;1;0;1
6877;32038194;CENTRO EDUCACIONAL PRAIA DA COSTA;Privada;100;0;0;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1
6878;32038224;COLEGIO MARISTA NOSSA SENHORA DA PENHA;Privada;99.5;0.5;0;Sudeste;ES;Urbana;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
6879;32038461;EEEFM TERRA VERMELHA;Estadual;99.3;0;0.7;Sudeste;ES;Urbana;1;1;0;1;1;1;1;1;1;1;0;0;1;0;0;0
6880;32038496;EEEFM FRANCELINA CARNEIRO SETUBAL;Estadual;99.7;0.3;0;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0
6881;32038500;EEEFM LUIZ MANOEL VELLOZO;Estadual;99.1;0.9;0;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0
6882;32038534;EEEFM PROF GERALDO COSTA ALVES;Estadual;100;0;0;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0
6883;32038852;EEEFM ADOLFINA ZAMPROGNO;Estadual;97.6;2.2;0.2;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0
6884;32038941;EEEM DR FRANCISCO FREITAS LIMA;Estadual;100;0;0;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0
6885;32039050;CE SANTA RITA DE CASSIA;Privada;93.4;2.2;4.4;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0
6886;32039085;EEEM BENICIO GONCALVES;Estadual;99.8;0;0.2;Sudeste;ES;Urbana;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
6887;32039140;EPG JOSE BONIFACIO;Privada;97.6;2.4;0;Sudeste;ES;Urbana;1;1;0;1;1;1;1;1;1;1;0;0;1;0;0;0
